headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.0.role.roleTerm#text|metadata.mods.name.0.role.roleTerm@type|metadata.mods.name.0namePart|metadata.mods.name.1namePart|metadata.mods.name.2namePart|metadata.mods.note#text|metadata.mods.note@displayLabel|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.relatedItem.2.locationurl|metadata.mods.subject.0topic|metadata.mods.subject.1topic|metadata.mods.subject.2topic|metadata.mods.subject.3geographic|metadata.mods.subject.3topic|metadata.mods.subject.4geographic|metadata.mods.subject.4topic|metadata.mods.subject.5geographic|metadata.mods.subject.6geographic|metadata.mods.subject.7geographic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2020-03-27T03:01:58Z|wwiioh_2194|wwiioh|sound|dct|0012_003467_000304_01|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2194|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2194/datastream/TN/view|preview|creator|text|Eddlemon, George A.|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|1990-05-02|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |Eddlemon, George A.: WWII Oral History - Part 1|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2011|wwiioh|sound|dct|0012_003467_000424_02|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2011|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2011/datastream/TN/view|preview|creator|text|O'Steen, Neal|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2002-04-02|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Navy|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |O'Steen, Neal: WWII Oral History  - Part 2|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2660|wwiioh|sound|dct|0012_003467_000302_01|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2660|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2660/datastream/TN/view|preview|creator|text|Duhan, Stanley|G. Kurt Piehler|Catherine I. Davis|This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2002-03-14|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Navy|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Stateside|    |World War, 1939-1945|    |    |Duhan, Stanley: WWII Oral History  - Part 4|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2203|wwiioh|sound|dct|0012_003467_000313_02|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2203|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2203/datastream/TN/view|preview|creator|text|Forinash, Cecil L.|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|1991-10-23|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|World War, 1939-1945|    |    |    |    |Forinash, Cecil L.: WWII Oral History  - Part 4|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2404|wwiioh|sound|dct|0012_003467_000468_01|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2404|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2404/datastream/TN/view|preview|creator|text|Seay, Charles|G. Kurt Piehler|Cynthia Tinker|This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2000-03-24|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army Air Forces/Corps|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |Seay, Charles: WWII Oral History  - Part 3|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2428|wwiioh|sound|dct|0012_003467_000533_01|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2428|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2428/datastream/TN/view|preview|creator|text|Wallace, George B.|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|1991-03-07|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army Air Forces/Corps|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |Wallace, George B.: WWII Oral History|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2549|wwiioh|sound|dct|0012_003467_000209_01|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2549|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2549/datastream/TN/view|preview|creator|text|Antonucci, Dario|G. Kurt Piehler|Jamie Murray|This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2004-04-16|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Marine Corps|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |Antonucci, Dario: WWII Oral History  - Part 1|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2441|wwiioh|sound|dct|0012_003467_000434_02|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2441|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2441/datastream/TN/view|preview|creator|text|Pemberton, Olson|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2004-03-29|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army|United States. Army. Chaplain Corps.|Oral history -- United States.|    |World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|European|World War, 1939-1945|    |Pemberton, Olson: WWII Oral History  - Part 4|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2558|wwiioh|sound|dct|0012_003467_000242_02|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2558|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2558/datastream/TN/view|preview|creator|text|Bryan, William|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|1993-03-03|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Marine Corps|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|Pacific|    |World War, 1939-1945|    |    |Bryan, William: WWII Oral History  - Part 2|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
2020-03-27T03:01:58Z|wwiioh_2333|wwiioh|sound|dct|0012_003467_000445_02|local|English|text|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2333|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/wwiioh%3A2333/datastream/TN/view|preview|creator|text|Raines, Jack|unknown|    |This object was added to the Digital Preservation Network in November 2017.|dpn|The University of Tennessee Libraries, Knoxville|2003-04-01|audio/wav|The University of Tennessee Libraries, Special Collections, Knoxville|original|Center for the Study of War and Society, UTK|http://digital.lib.utk.edu/collections/wwiioralhistories|United States. Army|Oral history -- United States.|World War, 1939-1945 -- Veterans -- United States|    |University of Tennessee, Knoxville. Center for the Study of War and Society|World War, 1939-1945|    |    |    |    |Raines, Jack: WWII Oral History  - Part 2|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|sound recording
